question_id,answer_id,answer_video,question,subject
21,21,XI_01_E01_05.mp4,"List all the elements of the following sets :
(i) A
  = {x : x is an odd natural number}
(ii) B = {x : x is an integer, `-1/2<x<9/2`
}
(iii)  C
  = {x : x is an integer, `x^2lt=4`
}
(iv) D
  = {x : x is a letter in the word ""LOYAL""}
(v) E
  = {x : x i",MATHS
226,226,XI_03_E01_04.mp4,Find the degree measure of the  angle subtended at the centre of a circle of radius 100 cm by an arc of  length 22 cm (use `pi=(22)/7`).,MATHS
256,256,XI_04_E01_12.mp4,Prove the following by using the principle of  mathematical induction for all `n in  N`:`a+a r+a r^2+dotdotdot+a r^(n-1)=(a(r^n-1))/(r-1)`,MATHS
276,276,XI_04_E01_07.mp4,Prove the following by using the principle of  mathematical induction for all `n in  N`:`1. 3 + 3. 5 + 5. 7 + dot dot dot + (2n  1) (2n + 1)=(n(4n^2+6n-1))/3`,MATHS
311,311,XI_05_E02_05.mp4, Convert of the complex number in the polar form: `1-i`,MATHS
341,341,answer-1501523457.mp4,Evaluate : `[i^(18)+(1/i)^(25)]^3`,MATHS
461,461,XI_07_E03_08.mp4,"How many words, with or without meaning, can be formed using all
  the letters of the word EQUATION, using each letter exactly once?",MATHS
476,476,XI_07_MEX_01.mp4,"How many words, with or without meaning, each of 2 vowels and 3
  consonants can be formed from the letters of the word DAUGHTER ?",MATHS
491,491,XI_07_E02_05.mp4,"Evaluate `(n !)/((n-r)!),`when (i) `n = 6, r = 2` (ii)  `n = 9, r = 5`",MATHS
501,501,XI_08_E01_05.mp4,Expand of the expression : `(x+1/x)^6`,MATHS
506,506,XI_08_E01_02.mp4,Expand of the expression : `(2/5-x/2)^5`,MATHS
606,606,XI_09_E01_10.mp4,Find  the indicated terms of the sequence whose `n^(t h)`terms are :<br> `a_n=(n(n-2))/(n+3)`; `a_(20)`,MATHS
781,781,XI_11_E04_12.mp4,"Find the equations of the hyperbola satisfying the given  conditions :Foci `(+-3sqrt(5),0)`, the latus rectum is of length 8.",MATHS
796,796,XI_11_E02_07.mp4,"Find the equation of the parabola that satisfies the given  conditions:<br>Focus `(6, 0)`; directrix `x = 6`",MATHS
836,836,XI_11_MEX_05.mp4,"A rod of length 12 cm moves with its ends always touching the
  coordinate axes. Determine the equation of the locus of a point P on the rod,
  which is 3 cm from the end in contact with the xaxis.",MATHS
1051,1051,XI_15_MEX_07.mp4,"The mean and standard deviation of a group of `100` observations  were found to be `20` and `3`, respectively. Later on it was found that three  observations were incorrect, which are recorded as `21, 21` and `18.` Find the  mean and standard deviation if the incorrect observations are omitted.",MATHS
1056,1056,XI_15_E01_02.mp4,"Find the mean deviation about the mean for the data  : `38 , 70 , 48 , 40 , 42 , 55 , 63 , 46 , 54 , 44`",MATHS
1061,1061,XI_15_E03_01.mp4,"For the data given below state which group is more variable, A or  B?<br> <img src=""https://d10lpgp6xz60nq.cloudfront.net/physics_images/XI_15_E03_01_Q001.png"" width=""80%"">",MATHS
1076,1076,XI_15_E02_07.mp4,"Find the mean and variance for the following  frequency distributions :<br> <img src=""https://d10lpgp6xz60nq.cloudfront.net/physics_images/XI_15_E02_07_Q001.png"" width=""80%"">",MATHS
1081,1081,XI_15_E02_02.mp4,Find the mean and variance for each of the data : <br>First n natural numbers,MATHS
1116,1116,XI_16_E03_01.mp4,"Which of the following cannot be valid assignment of  probabilities for outcomes of sample Space `S = {omega_1,omega_2,omega_3,omega_4,omega_5,omega_6,omega_7}`<br>   <img src=""https://d10lpgp6xz60nq.cloudfront.net/physics_images/XI_16_E03_01_Q001.png"" width=""80%"">",MATHS
1121,1121,XI_16_E02_02.mp4,A die is thrown. Describe the following events:<br>(i) A : a  number less than 7 <br>(ii) B : a number greater than 7<br>(iii) C : a multiple of 3 <br>(iv) D : a number less than 4<br>(v) E : a even number greater than 4<br>(vi) F : a number not less than 3<br> Also find `A,MATHS
1181,1181,XII_01_E04_13.mp4,"Consider a binary operation. on N defined  `a ** b  = a^3 + b^3.` Choose the correct answer.
",MATHS
1191,1191,XII_01_MEX_01.mp4,Let `f: R ->R`be defined as  `f(x) = 10 x + 7`. Find the function `g: R ->R`such  that`gof=fog=1_R`,MATHS
1206,1206,XII_01_SLV_35.mp4,Show that ` *: R xxR ->R`defined by `a*b = a +2b`is not  commutative.,MATHS
